M\xff44.80,7.36,6.46
44.64,33.81,6.08
44.47,78.02,5.42
45.41,129.36,4.27
44.73,180.51,5.09
45.94,228.05,4.32
45.15,270.12,4.65
45.05,305.43,5.25
45.31,333.84,4.71
44.79,355.87,5.47
44.84,372.08,5.15
44.94,382.25,4.82
44.32,386.84,5.58
44.06,388.17,5.86
45.21,387.39,4.82
45.42,384.76,4.93
45.16,381.79,5.58
45.63,378.95,4.32
45.37,376.01,5.09
45.37,373.78,4.65
45.10,372.47,4.49
45.10,371.59,4.60
44.68,370.98,5.15
44.58,370.35,5.36
45.47,369.78,4.82
45.10,369.20,4.71
44.58,368.30,5.58
44.63,367.69,5.25
44.84,367.17,4.65
43.83,365.61,4.93
45.04,363.66,4.38
45.41,362.20,4.05
44.42,361.06,5.25
44.52,360.39,5.15
45.31,360.55,4.38
45.16,361.59,4.93
44.79,362.59,5.09
45.73,362.85,4.54
44.90,363.32,5.25
44.99,363.89,4.49
44.58,363.71,5.36
45.31,363.68,4.27
44.84,364.23,4.65
45.05,364.95,4.87
45.16,365.72,4.87
45.15,366.61,4.60
45.20,367.44,4.49
44.99,367.17,4.71
44.32,365.60,5.64
45.52,364.12,4.43
45.05,362.88,4.54
45.26,361.19,4.43
45.05,359.93,4.71
45.73,359.79,3.94
45.25,360.28,4.32
45.21,361.01,4.87
44.88,361.91,3.72
44.62,362.61,4.54
44.42,362.34,5.25
45.83,361.16,3.94
45.05,360.45,4.76
45.35,359.94,3.67
44.46,358.37,4.27
45.68,356.83,4.27
45.04,356.46,4.38
45.41,357.03,4.32
44.89,358.24,4.76
45.52,359.70,4.49
45.36,361.18,4.43
45.25,361.95,4.21
44.53,361.51,5.36
45.10,361.10,4.93
45.05,360.86,4.65
44.26,359.94,5.64
44.73,359.24,4.82
44.52,358.71,5.15
45.05,357.63,4.93
44.95,356.89,5.20
44.37,357.17,5.53
44.37,358.13,5.53
44.26,359.43,5.64
44.68,360.76,5.25
45.10,361.84,4.60
43.84,362.06,5.58
45.41,361.32,4.16
44.78,360.75,4.76
45.57,360.35,4.16
45.10,359.34,4.65
45.63,358.62,4.43
44.10,358.84,5.58
44.68,359.55,5.25
45.73,360.47,4.43
45.00,361.68,5.04
45.05,363.19,4.71
45.20,363.98,4.38
45.47,363.32,4.60
43.73,362.01,5.04
44.94,360.30,4.60
44.89,358.24,4.82
45.52,356.90,4.65
44.68,356.69,5.20
45.21,357.10,4.76
45.10,357.74,4.60
44.37,358.61,5.53
45.10,359.81,5.04
44.84,360.69,4.98
44.94,360.72,4.54
44.73,360.58,4.87
44.78,360.28,4.76
45.10,359.36,4.43
44.68,358.65,5.20
44.79,358.76,5.09
44.10,359.35,5.58
45.31,360.12,4.87
45.10,361.11,4.60
45.41,361.90,3.72
44.21,361.61,5.15
45.47,360.39,4.54
45.36,359.23,3.89
44.84,357.89,5.09
44.74,356.29,5.25
44.63,355.61,5.31
45.63,356.00,4.43
45.63,357.06,4.32
44.26,358.50,5.64
45.31,359.88,4.38
45.25,361.06,4.32
44.31,361.27,4.71
44.57,360.14,4.87
45.47,359.08,4.32
43.89,358.27,5.53
45.05,357.05,4.71
44.47,356.36,5.47
44.52,356.81,5.15
45.32,358.17,5.25
45.00,360.13,4.76
43.83,361.83,4.93
44.74,362.76,5.15
44.15,362.39,4.87
44.53,360.64,5.42
45.63,359.16,4.38
44.93,357.61,3.94
45.52,354.62,4.21
43.78,351.73,5.09
45.00,350.38,4.98
44.95,350.57,5.04
45.57,351.91,3.89
44.73,353.70,5.09
44.78,355.40,4.38
45.05,356.31,4.71
