45.11,7.16,5.25
45.01,33.48,5.53
45.00,78.73,5.47
44.90,132.41,5.69
45.32,186.45,5.20
45.32,237.16,5.31
45.16,282.33,5.42
44.53,320.32,6.02
44.27,350.69,6.46
44.90,373.60,5.36
45.22,389.66,5.42
44.95,399.35,5.58
45.32,403.53,5.42
45.27,404.50,5.36
44.95,403.31,5.31
45.21,400.15,5.36
45.16,396.61,5.31
44.74,393.06,5.36
44.16,389.13,5.75
45.37,385.97,5.42
44.38,384.40,6.35
45.11,384.10,5.15
45.22,384.62,5.53
45.16,385.63,5.47
44.95,386.91,5.64
45.11,387.46,5.25
44.79,386.64,5.47
45.21,385.69,5.31
44.64,384.68,5.80
45.21,382.99,5.31
44.73,381.65,5.09
44.42,381.14,5.53
44.64,381.26,5.64
44.32,382.06,6.13
45.53,383.36,5.20
44.79,384.92,5.58
44.85,385.77,5.53
44.58,385.25,5.80
45.05,384.41,4.76
45.31,383.32,4.87
44.06,381.67,6.40
45.05,380.39,4.98
44.69,379.81,5.36
45.11,379.91,5.36
44.48,380.62,5.97
44.11,381.35,5.80
44.48,381.75,5.69
45.37,381.29,5.36
44.53,379.80,5.91
44.43,378.66,6.29
45.26,377.91,4.93
45.16,376.78,5.42
44.90,376.31,5.69
44.79,376.35,5.31
44.59,375.64,5.86
44.22,374.93,6.51
44.32,375.15,5.64
45.11,376.08,5.25
44.95,377.45,5.64
45.11,379.04,5.42
44.48,380.60,6.24
45.37,381.31,4.82
45.21,380.82,5.25
44.21,380.17,5.75
45.21,379.16,5.15
45.21,377.36,5.31
44.58,376.05,5.42
45.00,375.85,5.47
44.53,376.48,5.91
45.11,377.69,5.69
44.64,379.21,5.69
44.11,380.79,6.35
44.11,381.26,5.80
44.27,380.12,6.19
44.27,379.07,6.19
44.11,378.35,6.08
45.27,377.12,5.31
45.43,376.46,5.58
45.32,377.03,5.15
45.06,378.33,5.42
45.11,380.13,5.75
45.27,382.09,5.47
44.75,383.83,5.97
45.31,384.41,4.76
45.42,383.39,5.20
45.32,382.12,5.42
43.91,380.73,6.57
45.00,378.65,5.31
45.11,377.27,5.36
44.69,377.31,6.02
45.01,378.31,6.08
45.17,379.95,5.69
44.95,381.82,5.58
44.79,383.39,5.25
45.32,383.64,5.42
45.17,382.34,5.64
44.33,381.08,6.40
44.54,380.05,6.19
44.80,378.53,5.86
44.80,377.58,5.69
44.69,377.75,5.58
44.38,378.46,6.24
45.00,379.20,5.25
45.21,379.78,4.76
45.06,380.39,5.58
44.33,380.49,6.68
44.64,379.63,5.69
45.06,378.88,5.31
43.96,378.34,6.51
44.27,377.30,6.46
45.11,376.66,5.47
44.53,376.17,5.42
44.79,374.71,5.53
45.00,373.35,5.04
44.17,373.16,6.29
44.90,374.07,5.91
45.42,375.69,5.09
44.74,377.42,5.53
45.06,378.88,5.75
45.16,379.30,5.04
44.37,378.20,5.58
44.27,376.85,6.13
43.74,375.66,6.46
43.85,374.02,6.13
45.21,372.90,5.36
44.96,373.16,5.86
44.28,374.60,6.73
45.06,376.70,5.86
44.74,378.76,5.64
44.89,380.23,4.93
44.17,380.52,6.29
45.11,379.52,5.42
44.95,378.37,5.25
45.11,377.16,5.25
44.90,375.41,5.58
44.48,374.27,5.80
44.89,374.32,4.54
44.68,375.02,5.15
43.85,376.06,6.13
44.94,377.01,4.87
44.48,377.51,5.97
44.63,377.27,5.58
44.95,376.17,5.36
44.23,375.43,6.79
44.90,375.25,5.58
44.69,374.87,5.91
45.00,375.05,5.31
44.68,375.95,5.04
44.43,376.80,6.02
45.21,377.49,5.31
44.80,378.24,5.80
44.74,379.05,5.91
44.80,379.22,5.80
45.01,378.46,5.64
44.69,377.84,5.91
45.37,377.32,5.20
45.01,376.35,5.91
44.79,375.72,5.04
45.21,375.72,5.15
45.06,376.19,5.53
44.80,377.10,5.69
44.07,378.33,6.68
44.95,379.78,5.42
45.17,380.53,5.86
45.17,380.04,5.75
45.11,379.38,5.47
44.69,378.57,5.53
44.74,376.97,5.25
45.11,375.53,5.42
44.32,374.30,5.86
44.69,372.87,5.64
44.38,372.40,6.08
44.17,373.37,6.29
44.17,375.01,6.29
45.01,376.08,5.58
45.22,375.84,5.42
44.58,375.21,5.15
45.32,374.27,4.98
45.11,372.80,5.42
45.27,372.12,5.36
44.11,371.87,6.35
44.95,371.18,5.69
44.32,371.04,6.13
44.54,371.90,6.19
44.85,373.24,5.53
44.58,374.68,5.47
44.53,375.99,5.75
44.95,377.28,5.53
44.69,377.84,5.58
44.80,377.07,5.69
44.38,376.20,6.08
44.85,375.45,5.64
44.95,374.33,5.58
45.37,373.77,5.20
45.42,373.93,4.65
43.74,374.38,6.19
44.69,375.08,5.53
45.16,375.86,5.47
45.11,376.70,5.42
44.85,376.98,5.80
45.11,376.23,5.69
44.90,375.60,5.42
45.01,375.04,5.53
44.17,373.82,6.57
44.47,372.94,5.15
45.27,373.09,5.25
45.06,373.91,5.86
44.96,375.24,5.80
44.38,376.96,6.35
44.69,378.67,5.69
44.48,379.47,5.91
44.33,379.10,6.68
43.96,378.88,6.79
44.64,378.74,5.86
44.74,377.65,5.25
44.58,376.26,5.42
44.31,375.22,5.20
44.95,374.52,5.53
45.01,374.31,5.64
44.22,374.67,6.24
45.32,375.31,5.20
44.85,375.32,5.91
43.85,374.43,6.62
45.26,373.56,4.82
44.38,372.48,6.35
44.79,370.66,5.20
44.90,369.18,5.42
44.69,368.16,5.64
44.12,367.07,6.62
44.48,366.88,6.13
44.80,368.10,6.24
44.85,370.26,5.80
44.85,372.83,5.69
44.90,375.26,5.69
44.47,377.20,5.31
45.00,377.76,5.36
45.06,376.87,5.86
44.80,376.18,6.24
44.90,375.65,5.64
44.64,374.56,6.02
44.74,374.02,5.91
44.07,374.53,6.68
44.01,375.42,6.73
44.63,376.20,5.20
45.12,376.92,5.97
44.80,377.88,5.86
44.11,378.14,6.08
44.28,377.13,6.73
44.17,376.27,6.46
44.95,375.59,5.64
44.63,374.25,5.58
45.11,373.33,5.42
44.95,373.47,5.04
44.58,374.07,5.75
43.91,374.73,6.57
44.79,375.18,5.25
45.01,375.47,5.58
44.16,375.31,6.13
44.01,374.31,6.73
44.59,373.44,5.91
45.06,372.68,5.42
44.37,371.26,5.58
45.11,370.14,5.47
44.37,370.12,5.91
43.91,370.82,6.57
44.85,371.80,5.75
44.27,372.96,6.46
44.85,374.18,5.53
44.95,374.55,5.58
44.95,373.55,5.42
44.00,372.41,5.97
43.64,371.26,6.29
44.80,369.66,5.80
44.80,368.64,5.75
44.69,368.68,5.58
44.48,369.51,5.75
44.95,370.83,5.36
44.32,372.17,5.97
44.37,373.34,5.97
44.53,373.44,5.31
44.58,372.00,5.69
44.80,370.61,5.69
43.95,369.68,6.24
44.22,368.58,6.08
44.64,368.25,5.69
44.17,368.32,6.29
44.69,367.80,5.91
44.79,367.50,5.31
43.74,367.85,5.97
45.00,368.59,5.47
43.95,369.62,6.24
44.59,370.91,5.91
44.16,372.53,5.97
44.90,373.57,5.64
44.38,373.43,6.02
43.90,373.24,6.51
44.58,372.84,5.20
44.06,371.27,6.13
44.48,369.70,5.80
44.21,369.09,5.36
44.32,369.20,5.97
44.80,370.02,5.80
44.53,371.35,5.58
44.17,372.71,6.57
43.85,373.27,6.62
44.58,372.54,5.64
44.58,371.79,5.64
44.37,371.12,5.42
44.85,369.70,5.69
44.58,368.59,5.75
45.16,368.49,5.42
44.80,368.98,5.80
44.53,369.85,5.86
44.95,371.03,5.69
44.90,372.44,5.86
43.64,373.33,6.51
44.47,372.85,5.31
44.16,371.77,5.69
44.43,370.52,5.80
44.90,368.93,5.58
44.32,367.99,6.02
44.43,368.26,6.29
43.91,369.37,6.57
44.32,370.96,6.02
44.74,372.67,5.86
44.95,374.11,5.25
44.58,374.36,5.64
44.48,372.95,5.64
44.80,371.12,5.75
44.21,369.48,5.91
44.90,367.72,5.42
44.53,366.80,6.08
44.43,367.25,5.91
44.69,368.46,5.91
44.21,369.88,5.64
44.63,371.23,5.58
44.74,372.48,5.75
44.06,372.81,6.13
44.53,371.78,5.69
44.69,370.83,5.91
44.21,370.10,5.91
43.64,368.88,6.84
44.74,368.10,5.75
44.42,367.36,5.36
44.11,365.72,5.75
44.38,364.60,6.13
44.74,365.05,5.80
43.70,366.59,6.79
44.95,368.47,5.69
44.69,370.22,5.80
43.80,371.81,6.68
44.58,372.60,5.80
44.32,372.12,5.97
44.32,371.56,5.91
43.80,370.97,6.68
43.91,369.63,6.84
44.48,368.58,5.91
44.43,368.53,5.91
44.38,369.17,6.13
44.69,370.23,5.91
44.53,371.36,6.02
44.48,372.41,5.91
44.16,372.66,5.36
44.22,371.57,6.19
44.89,370.45,5.20
44.43,369.43,5.80
44.69,367.94,5.64
44.22,367.07,6.13
44.48,367.35,5.91
44.58,368.26,5.80
44.85,369.45,5.69
44.74,370.76,5.80
43.64,372.16,6.84
44.10,372.69,5.47
44.01,371.58,6.19
44.53,370.02,5.31
44.64,368.46,5.69
44.95,366.73,5.64
44.43,365.75,6.13
44.05,365.72,5.69
44.43,366.39,6.08
44.01,367.71,6.46
44.27,369.20,5.80
44.22,370.49,6.08
44.42,370.83,5.58
44.79,369.72,5.53
44.01,368.58,6.46
44.74,367.89,5.64
44.22,366.97,6.19
44.48,366.65,5.86
44.63,367.43,5.58
44.21,368.80,5.91
43.74,370.14,6.46
44.79,371.21,5.47
43.85,371.94,6.13
43.96,371.57,6.51
44.48,370.10,6.02
44.32,369.05,6.02
44.58,368.39,5.69
44.01,367.15,6.19
44.22,366.14,6.08
44.47,365.31,5.31
43.70,363.84,6.79
44.27,362.95,6.13
44.16,363.41,5.86
44.64,364.72,5.91
44.32,366.56,5.97
44.06,368.55,6.19
44.22,370.40,6.08
44.74,371.37,5.64
44.21,370.90,5.86
44.74,370.19,5.91
44.64,369.41,5.69
44.74,367.90,5.91
44.74,366.73,5.86
44.27,366.69,5.97
44.37,367.39,5.86
44.01,368.49,6.73
44.17,369.78,6.29
44.48,371.09,5.75
44.32,371.60,6.08
44.37,370.89,5.86
43.54,370.17,6.95
44.22,369.49,6.08
44.16,368.25,6.08
44.69,367.51,6.08
44.43,367.89,6.08
44.59,368.86,6.08
44.16,369.87,5.69
43.43,370.64,6.79
43.64,371.26,6.84
44.53,371.29,6.08
44.38,370.44,6.19
44.59,369.75,6.02
43.69,369.18,6.51
44.16,368.08,6.13
44.43,367.26,5.91
44.52,367.10,5.25
43.48,367.29,6.73
44.37,367.91,5.42
43.70,368.82,6.79
43.54,369.90,6.95
44.12,370.52,6.62
44.59,370.21,5.91
44.12,369.98,6.62
44.74,369.61,5.64
44.53,368.22,5.75
43.75,366.92,6.73
44.01,366.79,6.13
44.63,367.48,5.42
43.59,368.53,6.90
44.06,369.80,6.40
44.80,371.03,5.80
44.05,371.14,5.58
44.80,369.71,5.75
44.38,368.33,6.02
