voltage_output,sense,step#,vbatt = 9.56
45.23	7.74	53001
45.28	35.58	53002
45.28	82.35	53003
45.28	137.49	53004
45.39	193.27	53005
45.34	245.28	53006
45.23	290.95	53007
45.28	328.89	53008
45.34	358.58	53009
45.28	380.33	53010
45.28	395.46	53011
45.34	405.37	53012
45.28	411.11	53013
45.28	413.68	53014
45.23	414.01	53015
45.34	412.91	53016
45.23	410.75	53017
45.28	407.79	53018
45.23	404.79	53019
45.34	402.25	53020
45.28	400.27	53021
45.23	398.55	53022
45.28	396.88	53023
45.34	395.64	53024
45.23	394.77	53025
45.34	393.95	53026
45.23	393.47	53027
45.39	393.48	53028
45.28	393.82	53029
45.13	394.05	53030
45.28	393.93	53031
45.23	393.88	53032
45.23	393.85	53033
45.28	393.57	53034
45.23	393.42	53035
45.23	393.66	53036
45.39	394.11	53037
45.28	394.42	53038
45.28	394.34	53039
45.23	394.28	53040
45.34	394.48	53041
45.28	394.84	53042
45.23	395.30	53043
45.23	395.79	53044
45.34	396.20	53045
45.34	396.25	53046
45.34	395.82	53047
45.23	395.35	53048
45.28	395.17	53049
45.23	395.20	53050
45.28	395.10	53051
45.28	394.67	53052
45.34	394.32	53053
45.23	394.05	53054
45.34	393.59	53055
45.28	393.31	53056
45.28	393.40	53057
45.23	393.71	53058
45.13	393.88	53059
45.23	393.65	53060
45.07	393.43	53061
45.23	393.26	53062
45.34	392.90	53063
45.28	392.72	53064
45.18	392.89	53065
45.34	393.25	53066
45.28	393.46	53067
45.23	393.32	53068
45.28	393.22	53069
45.34	393.40	53070
45.23	393.71	53071
45.23	394.07	53072
45.23	394.45	53073
45.23	394.82	53074
45.18	394.92	53075
45.23	394.58	53076
45.23	394.24	53077
45.39	394.18	53078
45.29	394.35	53079
45.28	394.41	53080
45.28	394.11	53081
45.29	393.81	53082
45.18	393.52	53083
45.28	393.02	53084
45.34	392.70	53085
45.23	392.77	53086
45.28	393.08	53087
45.18	393.32	53088
45.39	393.25	53089
45.13	393.20	53090
45.28	393.13	53091
45.28	392.82	53092
45.23	392.63	53093
45.29	392.78	53094
45.39	393.14	53095
45.23	393.33	53096
45.28	393.13	53097
45.29	392.93	53098
45.28	393.03	53099
45.23	393.33	53100
45.29	393.74	53101
45.29	394.16	53102
45.34	394.52	53103
45.23	394.55	53104
45.18	394.14	53105
45.28	393.77	53106
45.39	393.69	53107
45.34	393.78	53108
45.28	393.74	53109
45.34	393.37	53110
45.29	393.06	53111
45.18	392.78	53112
45.29	392.22	53113
45.23	391.74	53114
45.23	391.67	53115
45.34	391.94	53116
45.13	392.11	53117
45.23	391.93	53118
45.23	391.83	53119
45.34	391.83	53120
45.23	391.69	53121
45.23	391.68	53122
45.29	391.98	53123
45.34	392.46	53124
45.34	392.77	53125
45.29	392.70	53126
45.29	392.65	53127
45.34	392.84	53128
45.23	393.16	53129
45.23	393.53	53130
45.29	393.92	53131
45.29	394.29	53132
45.23	394.31	53133
45.34	393.86	53134
45.29	393.41	53135
45.39	393.26	53136
45.23	393.37	53137
45.34	393.65	53138
45.29	393.98	53139
45.18	394.25	53140
45.34	394.20	53141
45.23	393.74	53142
45.34	393.32	53143
45.34	393.22	53144
45.23	393.35	53145
45.29	393.32	53146
45.23	392.91	53147
45.23	392.58	53148
45.23	392.34	53149
45.29	391.85	53150
45.29	391.46	53151
45.29	391.45	53152
45.23	391.72	53153
45.13	391.93	53154
45.34	391.82	53155
45.29	391.77	53156
45.23	391.97	53157
45.29	392.29	53158
45.34	392.65	53159
45.23	393.05	53160
45.18	393.48	53161
45.23	393.64	53162
45.34	393.31	53163
45.18	392.93	53164
45.39	392.81	53165
45.23	392.90	53166
45.34	393.12	53167
45.23	393.41	53168
45.34	393.71	53169
45.34	393.72	53170
45.23	393.33	53171
45.23	392.95	53172
45.23	392.81	53173
45.23	392.84	53174
45.23	392.77	53175
45.34	392.40	53176
45.23	392.07	53177
45.28	391.75	53178
45.29	391.21	53179
45.29	390.82	53180
45.29	390.83	53181
45.18	391.09	53182
45.13	391.25	53183
45.29	391.09	53184
45.13	391.00	53185
45.18	390.98	53186
45.23	390.75	53187
45.29	390.65	53188
45.29	390.93	53189
45.29	391.45	53190
45.23	391.84	53191
45.34	391.85	53192
45.29	391.86	53193
45.34	392.09	53194
45.18	392.45	53195
45.18	392.83	53196
45.23	393.19	53197
45.23	393.52	53198
45.18	393.53	53199
45.13	393.08	53200
45.23	392.64	53201
45.13	392.48	53202
45.34	392.53	53203
45.18	392.45	53204
45.34	392.03	53205
45.13	391.67	53206
45.23	391.41	53207
45.23	390.95	53208
45.23	390.63	53209
45.13	390.73	53210
45.23	391.11	53211
45.13	391.38	53212
45.23	391.29	53213
45.13	391.22	53214
45.18	391.17	53215
45.34	390.85	53216
45.23	390.68	53217
45.23	390.88	53218
45.23	391.30	53219
45.29	391.57	53220
45.18	391.45	53221
45.29	391.34	53222
45.29	391.48	53223
45.23	391.77	53224
45.29	392.14	53225
45.13	392.53	53226
45.13	392.91	53227
45.23	393.03	53228
45.13	392.65	53229
45.18	392.22	53230
45.18	392.05	53231
45.23	392.05	53232
45.29	391.95	53233
45.29	391.57	53234
45.18	391.28	53235
45.13	391.05	53236
45.23	390.62	53237
45.18	390.37	53238
45.23	390.54	53239
45.23	390.95	53240
45.13	391.22	53241
45.18	391.11	53242
45.23	390.99	53243
45.18	391.14	53244
45.23	391.46	53245
45.18	391.85	53246
45.23	392.22	53247
45.18	392.55	53248
45.29	392.66	53249
45.23	392.38	53250
45.18	392.07	53251
45.23	391.96	53252
45.23	392.00	53253
45.18	392.14	53254
45.29	392.34	53255
45.29	392.58	53256
45.23	392.59	53257
45.23	392.17	53258
45.23	391.74	53259
45.18	391.65	53260
45.18	391.80	53261
45.08	391.81	53262
45.18	391.47	53263
45.18	391.18	53264
45.18	390.95	53265
45.13	390.59	53266
45.18	390.41	53267
45.23	390.57	53268
45.29	390.92	53269
45.18	391.13	53270
45.18	390.96	53271
45.18	390.79	53272
45.18	390.90	53273
45.18	391.16	53274
45.18	391.47	53275
45.13	391.82	53276
45.29	392.21	53277
45.08	392.39	53278
45.23	392.13	53279
45.29	391.83	53280
45.23	391.78	53281
45.13	391.90	53282
45.29	391.90	53283
45.13	391.55	53284
45.18	391.20	53285
45.18	390.90	53286
45.23	390.44	53287
45.18	390.18	53288
45.23	390.37	53289
45.18	390.80	53290
45.08	391.07	53291
45.29	390.96	53292
45.29	390.87	53293
45.13	391.06	53294
45.29	391.42	53295
45.29	391.86	53296
45.18	392.34	53297
45.13	392.79	53298
45.18	392.90	53299
45.13	392.52	53300
45.13	392.13	53301
45.23	392.01	53302
45.13	392.03	53303
45.18	392.15	53304
45.13	392.33	53305
45.13	392.50	53306
45.08	392.37	53307
45.13	391.83	53308
45.13	391.36	53309
45.13	391.23	53310
45.13	391.33	53311
45.13	391.33	53312
45.13	391.00	53313
45.23	390.72	53314
45.13	390.51	53315
45.13	390.09	53316
45.13	389.84	53317
45.13	389.97	53318
45.13	390.34	53319
44.97	390.54	53320
45.18	390.35	53321
45.29	390.20	53322
45.13	390.37	53323
45.08	390.73	53324
45.13	391.18	53325
45.18	391.64	53326
45.13	392.04	53327
45.13	392.12	53328
45.23	391.73	53329
45.18	391.39	53330
45.34	391.38	53331
45.23	391.58	53332
45.18	391.88	53333
45.13	392.21	53334
45.18	392.54	53335
45.18	392.61	53336
45.23	392.22	53337
45.13	391.80	53338
45.13	391.62	53339
45.13	391.62	53340
45.13	391.49	53341
45.13	391.04	53342
45.23	390.67	53343
45.18	390.38	53344
45.13	389.92	53345
45.13	389.64	53346
45.24	389.74	53347
45.18	390.13	53348
45.02	390.41	53349
45.13	390.30	53350
45.23	390.18	53351
45.13	390.35	53352
45.23	390.75	53353
45.08	391.31	53354
45.08	391.89	53355
45.18	392.37	53356
45.23	392.48	53357
45.13	392.12	53358
45.13	391.73	53359
45.23	391.63	53360
45.08	391.69	53361
45.13	391.84	53362
45.13	392.02	53363
45.08	392.24	53364
45.13	392.22	53365
45.08	391.79	53366
45.13	391.39	53367
45.24	391.30	53368
45.13	391.42	53369
45.08	391.40	53370
45.02	391.04	53371
45.13	390.72	53372
45.02	390.44	53373
45.08	389.94	53374
45.08	389.63	53375
45.13	389.74	53376
45.08	390.09	53377
45.02	390.29	53378
45.18	390.11	53379
45.13	389.97	53380
45.02	390.14	53381
45.18	390.54	53382
45.23	391.06	53383
45.02	391.56	53384
45.08	392.00	53385
45.18	392.11	53386
45.18	391.76	53387
45.13	391.46	53388
45.29	391.45	53389
45.13	391.61	53390
45.08	391.84	53391
45.08	392.08	53392
45.08	392.31	53393
45.18	392.25	53394
45.08	391.75	53395
45.18	391.27	53396
45.23	391.10	53397
45.13	391.15	53398
44.92	391.06	53399
45.13	390.64	53400
45.02	390.30	53401
45.13	390.30	53402
45.13	390.51	53403
45.02	390.85	53404
45.18	391.24	53405
45.23	391.65	53406
45.13	391.80	53407
45.18	391.50	53408
45.13	391.16	53409
45.23	391.09	53410
45.13	391.20	53411
45.13	391.43	53412
45.24	391.75	53413
45.24	392.05	53414
45.02	392.02	53415
45.13	391.56	53416
45.18	391.16	53417
45.13	391.07	53418
45.13	391.14	53419
45.18	391.04	53420
45.18	390.59	53421
45.18	390.23	53422
45.13	389.99	53423
45.24	389.61	53424
45.24	389.44	53425
45.18	389.65	53426
45.13	390.10	53427
45.18	390.42	53428
45.13	390.39	53429
45.13	390.36	53430
45.18	390.57	53431
45.13	390.95	53432
45.02	391.37	53433
45.18	391.79	53434
45.02	392.18	53435
45.08	392.21	53436
45.13	391.76	53437
45.02	391.30	53438
45.29	391.15	53439
45.18	391.22	53440
45.13	391.42	53441
45.08	391.64	53442
45.13	391.83	53443
45.13	391.77	53444
45.02	391.30	53445
45.13	390.86	53446
45.02	390.69	53447
45.24	390.70	53448
45.02	390.61	53449
45.13	390.23	53450
45.02	389.94	53451
45.02	389.74	53452
44.97	389.35	53453
45.08	389.14	53454
45.02	389.29	53455
45.13	389.64	53456
45.02	389.86	53457
45.08	389.73	53458
45.13	389.67	53459
45.13	389.95	53460
45.13	390.44	53461
45.08	390.96	53462
45.13	391.42	53463
45.13	391.80	53464
45.13	391.86	53465
45.13	391.49	53466
45.08	391.13	53467
45.13	391.05	53468
45.13	391.17	53469
45.08	391.18	53470
45.13	390.85	53471
45.18	390.61	53472
45.08	390.44	53473
45.08	390.04	53474
45.02	389.74	53475
45.13	389.77	53476
45.18	390.03	53477
45.02	390.17	53478
45.18	389.97	53479
45.13	389.80	53480
45.08	389.89	53481
44.97	390.14	53482
45.13	390.48	53483
45.18	390.89	53484
45.13	391.34	53485
45.02	391.52	53486
45.08	391.21	53487
45.13	390.86	53488
45.18	390.78	53489
45.08	390.89	53490
45.13	391.09	53491
45.13	391.37	53492
45.13	391.72	53493
45.08	391.81	53494
45.13	391.46	53495
45.02	391.14	53496
45.13	391.08	53497
45.18	391.14	53498
44.97	391.00	53499
45.13	390.53	53500
45.02	390.17	53501
45.08	389.90	53502
45.03	389.46	53503
45.02	389.20	53504
45.02	389.31	53505
45.13	389.65	53506
45.02	389.85	53507
45.13	389.71	53508
45.08	389.62	53509
45.18	389.84	53510
45.18	390.25	53511
45.13	390.76	53512
45.02	391.24	53513
45.08	391.65	53514
45.13	391.72	53515
45.18	391.33	53516
45.02	390.95	53517
45.02	390.85	53518
45.18	390.94	53519
45.18	390.92	53520
45.08	390.57	53521
45.02	390.29	53522
45.13	390.08	53523
44.97	389.72	53524
45.13	389.55	53525
45.13	389.74	53526
45.18	390.12	53527
44.97	390.32	53528
45.18	390.12	53529
45.18	390.00	53530
45.08	390.22	53531
45.08	390.59	53532
45.08	391.00	53533
45.13	391.44	53534
45.18	391.89	53535
45.02	392.05	53536
45.13	391.72	53537
45.13	391.36	53538
45.18	391.25	53539
45.13	391.35	53540
45.02	391.58	53541
45.08	391.88	53542
45.18	392.23	53543
45.23	392.31	53544
45.02	391.90	53545
45.13	391.42	53546
45.08	391.24	53547
45.02	391.30	53548
45.02	391.26	53549
45.13	390.89	53550
45.13	390.56	53551
45.13	390.25	53552
45.08	389.72	53553
45.18	389.37	53554
45.08	389.41	53555
45.18	389.75	53556
45.08	389.99	53557
45.13	389.84	53558
45.02	389.67	53559
45.08	389.78	53560
45.08	390.08	53561
45.08	390.49	53562
45.02	390.90	53563
45.08	391.26	53564
45.13	391.36	53565
45.02	391.05	53566
45.18	390.81	53567
45.08	390.89	53568
45.08	391.13	53569
45.18	391.21	53570
45.03	390.99	53571
45.02	390.85	53572
45.13	390.73	53573
45.13	390.33	53574
45.13	390.01	53575
45.08	389.98	53576
45.13	390.13	53577
44.92	390.13	53578
45.08	389.82	53579
45.08	389.60	53580
45.02	389.69	53581
45.03	389.97	53582
45.18	390.35	53583
45.08	390.77	53584
45.18	391.20	53585
45.13	391.36	53586
45.02	391.05	53587
45.08	390.73	53588
45.23	390.68	53589
45.18	390.82	53590
45.08	391.10	53591
45.13	391.46	53592
45.13	391.79	53593
45.02	391.80	53594
44.97	391.36	53595
45.02	390.94	53596
45.08	390.87	53597
45.08	391.01	53598
45.02	390.98	53599
45.08	390.56	53600
45.13	390.18	53601
44.97	389.89	53602
45.08	389.43	53603
45.08	389.14	53604
45.08	389.22	53605
45.08	389.56	53606
45.08	389.79	53607
45.02	389.65	53608
45.13	389.52	53609
45.18	389.63	53610
45.08	389.91	53611
45.13	390.30	53612
45.13	390.70	53613
45.02	391.09	53614
45.08	391.21	53615
45.08	390.89	53616
45.08	390.55	53617
45.08	390.51	53618
45.13	390.70	53619
45.08	390.79	53620
44.97	390.50	53621
45.03	390.22	53622
45.02	389.98	53623
45.13	389.56	53624
45.08	389.35	53625
44.97	389.53	53626
44.97	389.92	53627
45.13	390.16	53628
45.08	390.02	53629
44.97	389.91	53630
45.24	390.08	53631
45.08	390.41	53632
45.13	390.79	53633
45.08	391.17	53634
45.08	391.52	53635
45.02	391.58	53636
45.03	391.21	53637
44.97	390.88	53638
45.13	390.86	53639
45.08	390.99	53640
45.13	390.96	53641
44.97	390.56	53642
45.13	390.18	53643
45.02	389.84	53644
45.13	389.31	53645
45.13	388.97	53646
45.13	389.05	53647
45.13	389.43	53648
44.92	389.69	53649
44.97	389.58	53650
44.92	389.49	53651
45.08	389.67	53652
45.08	390.01	53653
45.08	390.45	53654
45.03	390.92	53655
45.03	391.33	53656
45.13	391.38	53657
45.13	390.96	53658
45.13	390.58	53659
45.24	390.52	53660
45.03	390.69	53661
45.08	390.98	53662
45.08	391.31	53663
44.97	391.60	53664
45.08	391.57	53665
45.02	391.13	53666
45.13	390.73	53667
45.02	390.66	53668
45.02	390.78	53669
44.92	390.76	53670
45.03	390.42	53671
45.13	390.19	53672
45.18	390.05	53673
45.03	389.67	53674
45.03	389.37	53675
45.13	389.40	53676
45.02	389.64	53677
45.18	389.76	53678
45.13	389.52	53679
45.18	389.32	53680
45.13	389.47	53681
45.13	389.85	53682
45.02	390.35	53683
45.08	390.88	53684
45.08	391.37	53685
45.02	391.52	53686
45.08	391.16	53687
44.97	390.75	53688
45.03	390.56	53689
45.08	390.57	53690
45.13	390.48	53691
45.08	390.05	53692
45.18	389.72	53693
